Name,Count
ADEN,28
ADENA,7
ADENIKE,48
ADEOLA,125
ADEPEJU,3
ADERINOLA,3
ADERINSOLA,46
ADERONKE,16
ADERYN,40
ADESEWA,14
ADESIRE,3
ADESOLA,25
ADESUWA,41
ADETOKUNBO,6
ADETOLA,13
ADETOUN,4
ADETUTU,7
ADEWONUOLA,6
ADEWUNMI,10
ADEYINKA,3
ADHARA,3
ADHIRA,14
ADHYA,38
ADI,84
ADIA,56
ADIBA,185
ADIBAH,13
ADIEL,7
ADIFAAH,3
ADILA,55
ADILAH,26
ADINA,373
ADIRA,24
ADISA,9
ADITHI,16
ADITI,382
ADITRI,16
ADIVA,12
ADIYA,3
ADJA,3
ADJOA,32
ADLEY,14
ADN,13
ADNA,126
ADONA,3
ADONAI,4
ADONIA,20
ADORA,93
ADRIA,41
ADRIAN,3
ADRIANA,1,117
ADRIANE,4
ADRIANNA,503
ADRIANNE,85
ADRIEL,26
ADRIELLE,24
ADRIEN,3
ADRIENNE,236
ADRIJA,73
ADRIJANA,13
ADRIKA,3
ADRINA,33
ADRITA,3
ADUNOLA,3
ADVAITA,7
ADVIKA,54
ADVITA,3
ADWOA,66
ADYA,18
AEESHA,3
AEISHA,8
AELA,81
AELLA,5
AEMAN,3
AEMELIA,18
AEMILIA,57
AERIN,86
AERIS,48
AERITH,4
AERON,9
AERONA,3
AERYN,323
AESHA,41
AEVA,26
AEVAH,3
AEYSHA,19
AFAAF,3
AFAF,7
AFEEFA,19
AFEEFAH,87
AFET,4
AFFAF,3
AFFIA,3
AFIA,290
AFIFA,129
AFIFAH,96
AFINA,3
AFIRA,3
AFIYA,113
AFIYAH,144
AFIZAH,37
AFNAAN,27
AFNAN,178
AFRA,104
AFRAA,18
AFRAH,98
AFREEN,314
AFRICA,20
AFRIDA,7
AFRIKA,6
AFRIN,61
AFRINA,4
AFRUZA,3
AFSA,141
AFSAH,13
AFSANA,338
AFSARA,9
AFSEEN,3
AFSHA,63
AFSHAH,14
AFSHAN,25
AFSHANA,4
AFSHEEN,98
AFTON,7
AFUA,57
AFZA,3
AGAMJOT,11
AGAPE,7
AGATA,337
AGATHA,718
AGATHE,39
AGGELIKI,3
AGGIE,3
AGNE,11
AGNES,1,132
AGNESA,22
AGNESE,13
AGNIESZKA,47
AGOTA,18
AHAANA,12
AHANA,79
AHDIA,11
AHLAAM,69
AHLAAN,3
AHLAM,282
AHLAN,6
AHSEN,3
AHUVA,4
AI,15
AIA,7
AIBHLIN,4
AIBHLINN,38
AICHA,303
AIDA,472
AIDAH,32
AIDA-MAE,3
AIDAN,15
AIDEEN,28
AIDEL,6
AIDEN,10
AIDY,12
AIELA,3
AIELAH,3
AIESHA,225
AIFE,3
AIFRIC,3
AIKA,15
AIKATERINI,16
AIKO,32
AILA,635
AILAH,43
AILANI,7
AILBHE,46
AILEEN,153
AILEY,4
AILIDH,3
AILIE,25
AILIN,6
AILIS,90
AILISE,3
AILISH,342
AILISHA,11
AILLA,75
AILSA,589
AIMA,166
AIMAH,3
AIMAL,20
AIMAN,197
AIME,86
AIMEE,14,891
AIMEE-,6
AIMEE-GRACE,18
AIMEE-JANE,4
AIMEE-JAYNE,3
AIMEE-JO,7
AIMEE-LEA,6
AIMEE-LEE,39
AIMEE-LEIGH,226
AIMEE-LOUISE,104
AIMEE-MAE,3
AIMEE-MAY,9
AIMEE-ROSE,47
AIMEN,126
AIMI,35
AIMIE,313
AIMIEE,6
AIMUN,3
AIMY,7
AIN,3
AINA,89
AINARA,9
AINE,682
AINHOA,29
AINI,18
AINSLEIGH,7
AINSLEY,54
AINSLIE,4
AIRA,90
AIRAH,30
AIRI,3
AIRLIE,9
AISA,10
AISE,3
AISHA,10,898
A'ISHA,94
AISHAH,1,536
A'ISHAH,85
AISHANI,90
AISHAT,145
AISHATU,3
AISHI,6
AISHIA,16
AISHLEEN,13
AISHLING,23
AISHPREET,6
AISHWARYA,155
AISLA,80
AISLEYNE,3
AISLIN,49
AISLING,838
AISLINN,198
AISOSA,22
AISSATA,7
AISSATOU,51
AISTE,40
AISWARYA,3
AISYA,3
AISYAH,12
AITANA,36
AIVA,207
AIVAH,45
AIVA-ROSE,4
AIYA,133
AIYAH,12
AIYANA,292
AIYANAH,7
AIYANNA,56
AIYAT,9
AIYESHA,10
AIYLA,338
AIYLAH,28
AIYSHA,247
AIYZA,9
AIYZAH,3
AIZA,1,578
AIZAH,1,401
AIZAH-NOOR,7
AIZA-NOOR,3
AIZZA,6
AIZZAH,4
AJA,22
AJANA,4
AJI,44
AJLA,31
AJOONI,51
AJUNI,25
AJWA,237
AJWAH,9
AKANE,3
AKANKSHA,18
AKARI,6
AKASHA,64
AKASYA,16
AKAYLA,7
AKAYSHA,3
AKEELA,9
AKEELAH,58
AKEIRA,7
AKEISHA,7
AKEMI,4
AKHIRA,3
AKHSA,3
AKI,6
AKIDA,3
AKIERA,3
AKIESHA,3
AKIFA,5
AKIFAH,40
AKILA,31
AKILAH,66
AKINA,3
AKIRA,379
AKIRAH,8
AKISHA,7
AKLIMA,63
AKOSUA,87
AKRITI,6
AKSA,181
AKSAA,3
AKSAH,36
AKSARA,3
AKSHA,10
AKSHANA,16
AKSHARA,178
AKSHARAA,7
AKSHATA,3
AKSHAYA,154
AKSHAYAA,3
AKSHAYAH,3
AKSHIKA,4
AKSHITA,49
AKSHITHA,3
AKUA,98
AKVILE,36
AL,26
ALA,67
ALAA,331
ALA'A,9
ALAANA,3
ALABAMA,25
ALAE,11
ALAHNA,13
ALAIA,188
ALAIA-MAI,3
ALAIBA,3
ALAIKA,3
ALAINA,497
ALAINE,3
ALAIYA,46
ALAIYAH,16
ALAIYNA,3
ALAIZA,24
ALAIZAH,3
ALANA,4,841
ALANAH,590
ALANA-MAE,12
ALANA-MAI,3
ALANA-RAE,9
ALANA-ROSE,38
ALANI,98
ALANIA,9
ALANIS,344
ALANNA,1,443
ALANNAH,1,844
ALANNAH-MAE,4
ALANNAH-ROSE,14
ALANNA-ROSE,5
ALANNIS,17
ALANOOD,3
ALANOUD,3
ALANTA,92
ALANTIS,7
ALANYA,198
ALANYAH,3
ALARA,470
ALARAH,6
ALARIA,3
ALARNA,349
ALARNAH,21
ALARNA-RAE,3
ALARNA-ROSE,3
ALARNI,6
ALARNIE,4
ALASIA,4
ALASKA,111
ALATHEA,3
ALAURA,8
ALAW,284
ALAYA,346
ALAYAH,268
ALAYAH-GRACE,3
ALAYAH-MAE,3
ALAYAH-ROSE,3
ALAYHA,3
ALAYLA,20
ALAYNA,1,126
ALAYNAH,37
ALAYNA-NOOR,3
ALAYSIA,22
ALBA,1,287
ALBANE,3
ALBANY,83
ALBA-ROSE,22
ALBATOOL,3
ALBERTA,117
ALBERTINE,20
ALBIE,9
ALBINA,28
ALBIONA,6
ALEA,118
ALEACIA,3
ALEAH,434
ALEAHA,17
ALEAH-RAE,3
ALEANA,3
ALEASHA,153
ALECIA,253
ALEEA,6
ALEEAH,33
ALEECE,6
ALEECIA,7
ALEEHA,52
ALEEMA,215
ALEEMAH,75
ALEEN,106
ALEENA,3,915
ALEENAH,53
ALEESA,141
ALEESHA,1,034
ALEESHA-MAE,3
ALEESHBA,3
ALEEYA,73
ALEEYAH,74
ALEEZA,1,432
ALEEZAH,79
ALEEZAY,22
ALEGRA,9
ALEGRIA,3
ALEHA,9
ALEIA,20
ALEIAH,4
ALEIGHA,197
ALEIGHA-MAE,3
ALEIGHSHA,6
ALEINA,3
ALEISHA,792
ALEIYA,3
ALEJANDRA,100
ALEKSA,39
ALEKSANDRA,1,451
ALEKSIA,9
ALEMA,3
ALENA,411
ALENKA,4
ALENNA,3
ALERO,12
ALESHA,2,633
ALESHA-MAE,3
ALESHA-MARIE,3
ALESHA-ROSE,3
ALESHIA,84
ALESI,16
ALESIA,223
ALESKA,3
ALESSA,104
ALESSANDRA,490
ALESSI,7
ALESSIA,1,349
ALESSIA-MARIA,7
ALESSYA,6
ALETA,3
ALETHEA,228
ALETHEIA,12
ALETHIA,4
ALETIA,6
ALETTA,8
ALEV,10
ALEX,3,015
ALEXA,3,953
ALEXA-GRACE,3
ALEXAH,9
ALEXA-LEIGH,3
ALEXA-MAE,17
ALEXA-MAY,15
ALEXANDRA,17,113
ALEXANDREA,73
ALEXANDRIA,1,143
ALEXANDRINA,17
ALEXA-ROSE,44
ALEXAS,3
ALEXCIA,77
ALEXI,376
ALEXIA,3,614
ALEXIAH,14
ALEXIA-LEIGH,3
ALEXIA-MAE,14
ALEXIA-MAY,7
ALEXIA-ROSE,7
ALEXIE,271
ALEXINA,14
ALEXINE,3
ALEXIS,5,408
ALEXIS-JADE,3
ALEXIS-LEIGH,6
ALEXIS-LOUISE,4
ALEXIS-MAE,35
ALEXIS-MARIE,4
ALEXIS-MAY,9
ALEXIS-ROSE,41
ALEXIUS,3
ALEXIYA,4
ALEXSANDRA,23
ALEXSI,3
ALEXSIS,20
ALEXUS,195
ALEXXA,3
ALEXYS,21
ALEXZANDRA,4
ALEYA,105
ALEYAH,98
ALEYNA,377
ALEYSHA,126
ALFIE,16
ALFIYA,3
ALHENA,26
ALI,19
ALIA,1,052
ALIAA,3
ALIAH,152
ALIANA,102
ALIANNA,22
ALIANNAH,3
ALICA,41
ALICE,37,532
ALICEA,24
ALICE-ANN,3
ALICE-JANE,6
ALICE-LOUISE,3
ALICE-MAE,32
ALICE-MARIE,3
ALICE-MAY,39
ALICE-ROSE,67
ALICIA,12,233
ALICIA-GRACE,4
ALICIA-MAE,16
ALICIA-MARIE,6
ALICIA-MAY,15
ALICIA-ROSE,22
ALICJA,1,619
ALIDA,7
ALIDIA,3
ALIEA,3
ALIENA,9
ALIENOR,16
ALIESHA,251
ALIFA,22
ALIFIYA,3
ALIHA,44
ALIJA,3
ALIJAH,6
ALIKA,67
ALIKI,24
ALILA,10
ALILAH,3
ALILIA,3
ALIMA,335
ALIMAH,91
ALIMAT,3
ALIN,24
ALINA,2,410
ALINAH,39
ALINE,67
ALINNA,3
ALIONA,60
ALIS,126
ALISA,874
ALISAH,3
ALISCIA,17
ALISE,208
ALISHA,13,809
ALISHAA,3
ALISHABA,15
ALISHAH,153
ALISHA-LEIGH,3
ALISHA-MAE,6
ALISHA-MAI,14
ALISHA-MARIE,26
ALISHA-MAY,25
ALISHA-ROSE,11
ALISHBA,1,305
ALISHBAH,146
ALISHEA,6
ALISHIA,277
ALISHMA,3
ALISHYA,13
ALISIA,348
ALISIJA,3
ALISIYA,10
ALISON,1,159
ALISSA,925
ALISSA-MAE,3
ALISSE,4
ALISSIA,495
ALISSIYA,3
ALISSON,3
ALISSYA,3
ALISYA,10
ALITA,12
ALITHEA,3
ALIVIA,862
ALIVIAH,3
ALIVIA-LEIGH,3
ALIVIA-MAE,4
ALIVIA-ROSE,20
ALIX,846
ALIXANDRA,30
ALIYA,1,707
ALIYAH,3,767
ALIYAH-GRACE,3
ALIYAH-MAE,7
ALIYAH-ROSE,8
ALIYANA,18
ALIYAT,9
ALIYE,28
ALIYHA,10
ALIYSHA,31
ALIYYA,3
ALIYYAH,116
ALIYZA,4
ALIZ,24
ALIZA,2,349
ALIZAAH,3
ALIZAH,246
ALIZA-MAE,6
ALIZA-RAE,3
ALIZAY,37
ALIZE,40
ALIZEE,24
ALIZEH,44
ALIZEY,6
ALJAWHARA,3
ALJAWHARAH,3
ALKA,3
ALKETA,3
ALLA,32
ALLANA,382
ALLANAH,270
ALLANAH-ROSE,3
ALLANNA,16
ALLANNAH,57
ALLANYA,4
ALLARNA,3
ALLAYA,3
ALLAYAH,17
ALLE,3
ALLEAH,22
ALLEGRA,691
ALLENA,6
ALLESSE,7
ALLEX,4
ALLEXIS,3
ALLEYAH,28
ALLI,3
ALLIA,9
ALLIAH,15
ALLIANA,6
ALLICIA,14
ALLIE,172
ALLISHA,49
ALLISIA,6
ALLISON,161
ALLISSA,15
ALLISSIA,11
ALLIYA,11
ALLIYAH,213
ALLORA,3
ALLY,186
ALLYA,3
ALLYSA,14
ALLYSHA,51
ALLYSIA,15
ALLYSON,45
ALLYSSA,53
ALLYSSIA,7
ALMA,698
ALMAAS,38
ALMAS,136
ALMAZ,3
ALMEERA,4
ALMINA,19
ALMIRA,100
ALOKA,3
ALOMA,3
ALONA,17
ALONDRA,6
ALORA,55
ALPHA,3
ALPHONSA,15
ALREEM,10
ALTEA,5
ALTHEA,179
ALTINA,11
ALULA,5
ALUNA,49
ALURA,3
ALVA,59
ALVEENA,76
ALVEERA,7
ALVIA,8
ALVINA,127
ALVIRA,8
ALYA,302
ALYAA,3
ALYAANAH,17
ALYAH,18
ALYANA,28
ALYANNA,18
ALYCE,151
ALYCEE,4
ALYCIA,288
